" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","160,629","151,634","151,425","166,588","174,701","178,553","176,866","173,205","173,864","183,546"
"Homicide","1,878","1,745","1,697","1,861","1,930","1,829","1,739","1,679","2,202","2,361"
"Rape (Forcible Rape prior to 2014)","7,828","7,459","9,397","12,793","13,695","14,724","15,500","14,720","13,439","14,435"
"Rape","6,935","6,665","8,562","11,827","12,785","13,799","14,526","13,791","12,641","13,730"
"Attempted Rape","893","794","835","966","910","925","974","929","798","705"
"Robbery","56,491","53,621","48,650","52,785","54,769","56,609","54,312","52,050","44,684","43,628"
"Weapon","","","","","","","","","",""
"Firearm","17,083","16,274","13,546","14,706","15,490","15,349","13,501","12,414","11,176","12,413"
"Knife or Cutting Instrument","4,920","4,641","4,553","5,028","5,207","5,277","5,031","4,719","4,359","4,081"
"Other Weapon","5,259","5,089","4,818","5,651","6,067","6,502","6,538","6,068","5,832","6,048"
"Strong-Arm","29,229","27,617","25,733","27,400","28,005","29,481","29,242","28,849","23,317","21,086"
"Location","","","","","","","","","",""
"Highway","26,246","24,463","22,052","22,872","22,953","22,494","21,231","19,782","16,613","15,674"
"Commercial","8,608","8,191","7,871","9,567","10,187","11,134","10,771","10,429","8,198","8,938"
"Gas Station","1,142","1,089","889","1,257","1,263","1,453","1,480","1,286","1,429","1,459"
"Convenience Store","2,547","2,264","2,385","2,845","3,062","3,453","3,369","3,188","3,373","3,057"
"Residence","5,190","4,794","4,370","4,283","4,730","4,504","4,343","4,275","4,215","4,226"
"Bank","845","784","696","662","669","596","568","443","410","468"
"Miscellaneous","11,913","12,036","10,387","11,299","11,905","12,975","12,550","12,647","10,446","9,806"
"Aggravated Assault","94,432","88,809","91,681","99,149","104,307","105,391","105,315","104,756","113,539","123,122"
"Weapon","","","","","","","","","",""
"Firearm","18,040","15,610","15,801","18,286","20,633","19,157","17,908","17,748","24,701","29,016"
"Knife or Cutting Instrument","15,128","14,504","14,859","17,100","17,157","17,123","16,936","16,413","17,556","18,127"
"Other Weapon","31,533","30,008","32,481","33,985","36,048","36,579","36,494","35,093","38,116","39,833"
"Hands  Fists  Feet","29,731","28,687","28,540","29,778","30,469","32,532","33,977","35,502","33,166","36,146"
"Property Crimes","1,048,764","1,018,333","946,682","1,023,828","1,001,380","986,769","940,998","915,197","841,171","857,599"
"Burglary","245,601","231,909","202,556","197,189","188,162","176,638","164,540","151,596","145,377","136,275"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","153,439","145,363","124,169","126,654","123,642","119,074","111,649","104,958","101,986","94,644"
"No Force","92,162","86,546","78,387","70,535","64,520","57,564","52,891","46,638","43,391","41,631"
"Location / Time","","","","","","","","","",""
"Residence","160,815","147,240","125,136","120,297","108,783","95,942","85,693","72,710","57,802","50,579"
"Night","34,480","32,907","27,437","28,013","26,696","24,399","22,266","20,228","19,454","17,961"
"Day","79,974","72,242","58,052","54,561","47,537","40,216","35,334","29,479","20,479","19,446"
"Unknown","46,361","42,091","39,647","37,723","34,550","31,327","28,093","23,003","17,869","13,172"
"Non-Residence","84,786","84,669","77,420","76,892","79,379","80,696","78,847","78,886","87,575","85,696"
"Night","32,407","32,965","29,884","31,295","34,465","35,781","35,459","35,715","40,649","39,784"
"Day","27,849","27,529","24,182","20,999","20,504","20,366","20,360","20,888","23,199","27,469"
"Unknown","24,530","24,175","23,354","24,598","24,410","24,549","23,028","22,283","23,727","18,443"
"Motor Vehicle Theft","168,516","165,217","151,790","170,788","176,676","168,327","155,170","140,732","168,046","179,956"
"Automotive","132,230","128,370","120,088","136,119","138,391","123,726","110,141","98,110","111,694","117,347"
"Trucks and Buses","25,284","25,145","21,816","23,365","26,040","32,127","33,524","31,303","41,708","46,675"
"Other","11,002","11,702","9,886","11,304","12,245","12,474","11,505","11,319","14,644","15,934"
"Larceny-Theft","634,647","621,207","592,336","655,851","636,542","641,804","621,288","622,869","527,748","541,368"
"Type","","","","","","","","","",""
"Pocket-Picking","3,431","3,478","3,293","3,783","3,903","4,874","5,228","6,033","3,473","4,092"
"Purse-Snatching","2,851","2,863","2,706","2,790","2,472","2,599","2,312","2,444","1,652","1,563"
"Shoplifting","94,136","93,532","97,301","108,659","98,589","91,553","89,378","90,309","64,105","64,027"
"From Motor Vehicle","223,295","217,029","202,916","235,419","238,185","256,625","243,040","245,795","195,903","191,629"
"Motor Vehicle Accessories","49,277","46,320","48,029","53,541","51,656","51,897","51,872","55,209","69,349","94,236"
"Bicycles","35,159","34,747","33,095","36,554","31,739","28,996","27,336","24,494","24,217","21,309"
"From Building","80,634","77,017","80,294","77,023","72,225","69,892","69,324","66,657","48,003","40,476"
"Coin Operated Machine","1,450","1,599","1,230","1,307","1,468","1,406","1,037","1,055","794","682"
"Other","144,414","144,622","123,472","136,775","136,305","133,962","131,761","130,873","120,252","123,354"
"Value","","","","","","","","","",""
"Over $400","232,014","228,035","215,820","238,456","235,543","261,346","270,124","281,436","236,050","null"
"$200 through $400","95,880","90,476","85,033","91,947","86,853","86,436","84,523","82,438","67,818","null"
