DATE,BRCA06M647NCEN
2002-02-01,1728051
2002-03-01,1747254
2002-04-01,1741007
2002-05-01,1716442
2002-06-01,1698130
2002-07-01,1676575
2002-08-01,1695868
2002-09-01,1670473
2002-10-01,1656644
2002-11-01,1661429
2002-12-01,1671204
2003-01-01,1676219
2003-02-01,1652008
2003-03-01,1679639
2003-04-01,1735853
2003-05-01,1745626
2003-06-01,1750889
2003-07-01,1743707
2003-08-01,1766677
2003-09-01,1760352
2003-10-01,1759283
2003-11-01,1763826
2003-12-01,1766683
2004-01-01,1766364
2004-02-01,1812244
2004-03-01,1863140
2004-04-01,1892315
2004-05-01,1895604
2004-06-01,1902140
2004-07-01,1932892
2004-08-01,1957204
2004-09-01,1959086
2004-10-01,1973748
2004-11-01,1977716
2004-12-01,1982354
2005-01-01,1988759
2005-02-01,1983187
2005-03-01,1998531
2005-04-01,1990739
2005-05-01,1996754
2005-06-01,1995931
2005-07-01,1991121
2005-08-01,1998974
2005-09-01,2013218
2005-10-01,2014236
2005-11-01,2010032
2005-12-01,2008457
2006-01-01,2012051
2006-02-01,1990419
2006-03-01,2002687
2006-04-01,1989586
2006-05-01,1999244
2006-06-01,2005494
2006-07-01,2001655
2006-08-01,2008181
2006-09-01,2006461
2006-10-01,2008954
2006-11-01,2013386
2006-12-01,2026945
2007-01-01,2033130
2007-02-01,2041062
2007-03-01,2065890
2007-04-01,2061934
2007-05-01,2060397
2007-06-01,2060397
2007-07-01,2055004
2007-08-01,2073792
2007-09-01,2077333
2007-10-01,2107994
2007-11-01,2118581
2007-12-01,2137063
2008-01-01,2160179
2008-02-01,2176434
2008-03-01,2209057
2008-04-01,2228659
2008-05-01,2252135
2008-06-01,2270623
2008-07-01,2298023
2008-08-01,2325856
2008-09-01,2356921
2008-10-01,2398987
2008-11-01,2431562
2008-12-01,2502279
2009-01-01,2545129
2009-02-01,2588728
2009-03-01,2653014
2009-04-01,2695893
2009-05-01,2746460
2009-06-01,2797186
2009-07-01,2849133
2009-08-01,2890168
2009-09-01,2945548
2009-10-01,3011359
2009-11-01,3041650
2009-12-01,3112043
2010-01-01,3145373
2010-02-01,3185154
2010-03-01,3232550
2010-04-01,3254744
2010-05-01,3285959
2010-06-01,3323895
2010-07-01,3376982
2010-08-01,3425892
2010-09-01,3466974
2010-10-01,3499878
2010-11-01,3521881
2010-12-01,3570066
2011-01-01,3602170
2011-02-01,3619055
2011-03-01,3669962
2011-04-01,3679671
2011-05-01,3727005
2011-06-01,3739233
2011-07-01,3776195
2011-08-01,3818822
2011-09-01,3851823
2011-10-01,3867094
2011-11-01,3875258
2011-12-01,3904099
2012-01-01,3917804
2012-02-01,3925017
2012-03-01,3961829
2012-04-01,3956504
2012-05-01,3980231
2012-06-01,4011628
2012-07-01,4034260
2012-08-01,4062422
2012-09-01,4074501
2012-10-01,4107543
2012-11-01,4108565
2012-12-01,4127070
2013-01-01,4155083
2013-02-01,4147880
2013-03-01,4180235
2013-04-01,4163620
2013-05-01,4169854
2013-06-01,4167502
2013-07-01,4181660
2013-08-01,4198369
2013-09-01,4200988
2013-10-01,4245372
2013-11-01,4264816
2013-12-01,4295452
2014-01-01,4308752
2014-02-01,4311206
2014-03-01,4336066
2014-04-01,4349203
2014-05-01,4362874
2014-06-01,4419104
2014-07-01,4434106
2014-08-01,4439090
2014-09-01,4429570
2014-10-01,4431666
2014-11-01,4381564
2014-12-01,4407217
2015-01-01,4400060
2015-02-01,4397992
2015-03-01,4410913
