" ","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"Crimes","","","","","","","","","",""
"Violent Crimes","207,988","204,591","197,432","189,593","194,128","191,493","185,233","174,579","163,957","155,313"
"Homicide","2,392","2,402","2,394","2,503","2,483","2,258","2,143","1,970","1,809","1,794"
"Rape (Forcible Rape prior to 2014)","10,176","9,918","9,598","9,345","9,213","9,047","8,906","8,698","8,325","7,678"
"Rape","8,620","8,461","8,287","8,115","7,937","7,931","7,859","7,719","7,408","6,792"
"Attempted Rape","1,556","1,457","1,311","1,230","1,276","1,116","1,047","979","917","886"
"Robbery","64,805","63,597","61,573","63,424","70,961","70,702","69,391","64,006","58,100","54,358"
"Weapon","","","","","","","","","",""
"Firearm","23,444","22,155","20,609","21,947","24,409","23,519","22,089","19,863","18,076","16,180"
"Knife or Cutting Instrument","6,599","6,453","6,119","6,230","6,833","6,632","6,253","5,658","5,051","4,817"
"Other Weapon","5,769","5,644","5,521","5,949","6,683","6,593","6,430","5,816","5,361","4,907"
"Strong-Arm","28,993","29,345","29,324","29,298","33,036","33,958","34,619","32,669","29,612","28,454"
"Location","","","","","","","","","",""
"Highway","29,603","29,511","28,738","30,381","34,685","34,880","33,983","31,145","28,360","26,302"
"Commercial","11,247","10,587","10,388","10,367","10,917","10,287","10,126","9,403","8,463","8,231"
"Gas Station","1,678","1,522","1,458","1,665","1,689","1,596","1,477","1,221","1,157","1,015"
"Convenience Store","2,991","2,745","2,717","2,854","3,252","3,039","2,936","2,710","2,476","2,210"
"Residence","5,489","5,349","5,046","5,142","5,512","5,674","5,848","5,640","5,250","4,941"
"Bank","1,502","1,369","1,323","1,233","1,331","1,178","1,275","1,107","1,029","916"
"Miscellaneous","12,295","12,514","11,903","11,782","13,575","14,048","13,746","12,780","11,365","10,743"
"Aggravated Assault","130,615","128,674","123,867","114,321","111,471","109,486","104,793","99,905","95,723","91,483"
"Weapon","","","","","","","","","",""
"Firearm","22,916","22,311","22,237","23,266","23,504","21,720","19,201","17,333","16,971","17,164"
"Knife or Cutting Instrument","17,983","18,065","18,608","18,677","18,209","17,430","16,693","16,099","15,182","14,873"
"Other Weapon","42,845","42,699","41,699","41,761","40,465","39,975","38,092","35,510","33,092","30,732"
"Hands  Fists  Feet","46,871","45,599","41,323","30,617","29,293","30,361","30,807","30,963","30,478","28,714"
"Property Crimes","1,171,644","1,209,030","1,223,275","1,195,381","1,156,010","1,112,366","1,081,272","1,006,788","981,523","974,666"
"Burglary","237,445","240,705","244,914","249,563","246,449","237,759","237,988","229,523","228,672","230,334"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","153,638","153,832","155,000","158,828","154,606","147,404","148,763","142,396","143,186","144,761"
"No Force","83,807","86,873","89,914","90,735","91,843","90,355","89,225","87,127","85,486","85,573"
"Location / Time","","","","","","","","","",""
"Residence","136,742","137,801","139,581","141,934","143,021","142,749","148,756","148,164","149,112","151,184"
"Night","30,780","32,048","31,849","31,702","31,513","30,673","31,487","32,223","32,441","32,471"
"Day","61,455","61,592","62,656","64,273","66,633","68,811","73,115","73,285","73,984","75,836"
"Unknown","44,507","44,161","45,076","45,959","44,875","43,265","44,154","42,656","42,687","42,877"
"Non-Residence","100,703","102,904","105,333","107,629","103,428","95,010","89,232","81,359","79,560","79,150"
"Night","34,833","35,792","36,656","37,424","36,147","33,237","31,565","30,830","30,083","29,601"
"Day","28,253","29,606","30,570","30,604","30,219","28,926","27,505","26,288","25,884","26,015"
"Unknown","37,617","37,506","38,107","39,601","37,062","32,847","30,162","24,241","23,593","23,534"
