" ","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"Motor Vehicle Theft","221,780","240,798","251,747","256,998","242,692","220,126","192,631","163,651","152,494","147,030"
"Automotive","162,478","180,451","188,311","193,183","182,658","167,250","144,289","125,096","117,653","113,534"
"Trucks and Buses","47,550","46,741","48,262","48,209","45,419","40,219","36,194","27,625","24,984","23,446"
"Other","11,752","13,606","15,174","15,606","14,615","12,657","12,148","10,930","9,857","10,050"
"Larceny-Theft","712,419","727,527","726,614","688,820","666,869","654,481","650,653","613,614","600,357","597,302"
"Type","","","","","","","","","",""
"Pocket-Picking","3,788","3,864","3,509","3,274","3,384","3,791","3,556","3,232","3,186","3,281"
"Purse-Snatching","4,234","4,507","4,291","4,125","4,513","4,100","3,798","3,504","3,181","2,857"
"Shoplifting","90,597","93,086","93,482","86,364","82,775","88,412","94,891","97,653","93,665","91,845"
"From Motor Vehicle","270,230","282,126","280,665","272,073","266,186","256,636","247,270","235,522","225,416","211,903"
"Motor Vehicle Accessories","78,528","80,734","82,037","73,035","64,615","57,762","59,324","50,934","49,609","46,924"
"Bicycles","26,474","26,605","25,231","23,244","21,041","20,074","22,680","25,980","26,445","30,093"
"From Building","106,359","101,445","99,960","93,578","89,171","85,268","81,371","75,884","75,313","76,803"
"Coin Operated Machine","3,636","3,455","3,342","3,306","2,519","2,394","2,153","1,803","1,634","1,414"
"Other","128,573","131,705","134,097","129,821","132,665","136,044","135,610","119,102","121,908","132,182"
"Value","","","","","","","","","",""
"Over $400","208,367","211,634","215,532","215,772","218,466","223,350","226,125","202,639","203,833","216,030"
"$200 through $400","110,107","113,392","114,873","109,155","105,213","102,009","102,947","99,226","96,180","91,666"
"$50 through $199","143,798","146,475","145,082","133,188","123,996","118,991","118,202","116,038","115,484","113,113"
"Under $50","250,147","256,026","251,127","230,705","219,194","210,131","203,379","195,711","184,860","176,493"
"Arson","14,007","13,677","12,660","12,272","12,687","11,400","10,674","9,233","7,864","7,164"
"Structural Property","4,119","3,992","3,786","3,774","3,758","3,438","3,416","2,865","2,546","2,327"
"Mobile Property","5,473","5,419","4,846","4,349","4,442","4,011","3,888","3,304","2,501","2,060"
"Other Property","4,415","4,266","4,028","4,149","4,487","3,951","3,370","3,064","2,817","2,777"
