" ","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002"
"Crimes","","","","","","","","","",""
"Violent Crimes","336,100","318,946","304,998","274,675","257,409","229,766","207,874","210,492","210,510","207,988"
"Homicide","4,095","3,699","3,530","2,910","2,579","2,170","2,006","2,074","2,201","2,392"
"Rape (Forcible Rape prior to 2014)","11,754","10,960","10,550","10,238","10,182","9,777","9,443","9,785","9,882","10,176"
"Rape","9,407","8,933","8,646","8,303","8,292","7,939","7,757","8,197","8,219","8,620"
"Attempted Rape","2,347","2,027","1,904","1,935","1,890","1,838","1,686","1,588","1,663","1,556"
"Robbery","126,347","112,149","104,581","94,137","81,413","68,752","60,027","60,243","63,299","64,805"
"Weapon","","","","","","","","","",""
"Firearm","51,901","44,472","40,308","37,168","31,193","23,799","19,912","20,971","22,606","23,444"
"Knife or Cutting Instrument","12,786","11,007","12,937","9,116","7,795","6,857","6,091","6,078","6,512","6,599"
"Other Weapon","15,179","13,833","8,261","8,614","7,340","6,699","5,861","5,610","6,034","5,769"
"Strong-Arm","46,481","42,837","43,075","39,239","35,085","31,397","28,163","27,584","28,147","28,993"
"Location","","","","","","","","","",""
"Highway","65,409","57,658","55,035","45,987","39,089","31,866","28,271","27,490","29,000","29,603"
"Commercial","19,512","17,667","15,222","14,986","13,600","11,277","9,817","9,853","10,877","11,247"
"Gas Station","3,213","2,650","2,485","2,288","1,783","1,533","1,339","1,608","1,721","1,678"
"Convenience Store","6,115","5,287","4,577","4,160","3,419","3,270","2,607","2,792","2,951","2,991"
"Residence","9,861","9,066","8,137","7,921","7,262","6,150","5,391","5,278","5,333","5,489"
"Bank","3,460","2,590","2,360","2,423","1,812","1,611","1,474","1,417","1,540","1,502"
"Miscellaneous","18,777","17,231","16,765","16,372","14,448","13,045","11,128","11,805","11,877","12,295"
"Aggravated Assault","193,904","192,138","186,337","167,390","163,235","149,067","136,398","138,390","135,128","130,615"
"Weapon","","","","","","","","","",""
"Firearm","44,881","39,334","36,760","30,868","25,812","21,641","19,044","20,987","21,545","22,916"
"Knife or Cutting Instrument","24,332","24,233","23,810","21,306","20,771","19,364","17,629","18,229","18,295","17,983"
"Other Weapon","52,234","53,649","53,211","52,019","50,934","46,290","42,924","43,606","44,028","42,845"
"Hands  Fists  Feet","72,457","74,922","72,556","63,197","65,718","61,772","56,801","55,568","51,260","46,871"
"Property Crimes","1,676,990","1,621,207","1,535,960","1,382,812","1,311,157","1,187,982","1,053,936","1,054,860","1,120,487","1,171,644"
"Burglary","413,671","384,414","353,817","311,778","298,882","268,847","223,828","222,247","229,922","237,445"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","281,838","260,298","240,349","209,677","196,150","177,354","145,821","143,187","147,854","153,638"
"No Force","131,833","124,116","113,468","102,101","102,732","91,493","78,007","79,060","82,068","83,807"
"Location / Time","","","","","","","","","",""
"Residence","255,047","239,317","220,124","194,332","185,720","164,813","132,803","128,586","130,870","136,742"
"Night","62,361","57,458","56,912","46,358","44,044","37,949","31,271","30,135","30,062","30,780"
"Day","115,183","105,229","92,379","85,697","82,571","73,955","59,519","57,579","58,253","61,455"
"Unknown","77,503","76,630","70,833","62,277","59,105","52,909","42,013","40,872","42,555","44,507"
"Non-Residence","158,624","145,097","133,693","117,446","113,162","104,034","91,025","93,661","99,052","100,703"
"Night","64,514","55,971","51,517","43,994","41,752","38,661","32,026","32,223","34,550","34,833"
"Day","41,418","37,618","34,350","32,394","31,844","30,151","27,226","28,510","28,323","28,253"
"Unknown","52,692","51,508","47,826","41,058","39,566","35,222","31,773","32,928","36,179","37,617"
"Motor Vehicle Theft","319,225","308,303","280,317","242,196","228,540","195,402","168,465","181,049","201,074","221,780"
"Automotive","234,745","225,838","206,254","179,960","168,004","142,390","122,228","130,656","145,980","162,478"
"Trucks and Buses","69,743","68,106","62,031","52,333","50,799","44,712","37,843","40,982","44,713","47,550"
"Other","14,737","14,359","12,032","9,903","9,737","8,300","8,394","9,411","10,381","11,752"
"Larceny-Theft","944,094","928,490","901,826","828,838","783,735","723,733","661,643","651,564","689,491","712,419"
"Type","","","","","","","","","",""
"Pocket-Picking","5,303","4,910","4,452","4,121","4,182","4,199","4,788","4,523","3,316","3,788"
"Purse-Snatching","7,264","6,159","5,540","5,343","5,066","4,586","4,387","4,502","4,524","4,234"
"Shoplifting","157,718","145,272","143,014","132,162","123,024","111,607","99,509","89,908","88,330","90,597"
"From Motor Vehicle","334,318","328,586","317,831","296,587","269,264","249,296","222,586","223,309","245,033","270,230"
"Motor Vehicle Accessories","100,974","101,672","87,981","81,820","72,567","70,206","66,537","61,913","74,605","78,528"
"Bicycles","67,827","60,989","54,196","46,474","50,556","39,350","35,218","29,535","27,931","26,474"
"From Building","118,324","119,309","115,673","113,606","112,184","105,464","101,963","104,243","109,345","106,359"
"Coin Operated Machine","6,548","5,302","5,711","5,232","5,065","5,429","5,757","5,255","5,629","3,636"
"Other","145,818","156,291","167,428","143,493","141,827","133,596","120,898","128,376","130,778","128,573"
"Value","","","","","","","","","",""
"Over $400","253,175","254,168","242,334","215,909","202,919","186,841","169,249","175,013","195,037","208,367"
"$200 through $400","152,536","154,163","147,635","138,480","127,954","117,021","106,668","102,424","106,602","110,107"
"$50 through $199","205,297","196,001","190,248","179,429","169,833","154,796","140,138","138,102","144,146","143,798"
"Under $50","333,086","324,158","321,609","295,020","283,029","265,075","245,588","236,025","243,706","250,147"
"Arson","20,343","18,711","17,105","17,948","15,875","14,314","14,454","14,406","15,060","14,007"
"Structural Property","6,688","6,387","5,813","5,601","4,870","4,687","4,655","4,669","4,612","4,119"
"Mobile Property","5,744","5,010","4,669","5,104","4,696","4,346","4,133","4,616","5,357","5,473"
"Other Property","7,911","7,314","6,623","7,243","6,309","5,281","5,666","5,121","5,091","4,415"
